scenario,algorithm,artifact_path,artifact_role,route_mode,route_source,inference_threshold,accuracy,jaccard,sf_jaccard,sf_accuracy,ET,median_execution_time,N_pairs,tp,fp,fn,tn,precision,recall,f1,runs
graph_SOR8_D3_seed42,Vanilla VMamba graph-image proxy,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vanilla_vmamba/Vanilla_VMamba_graph_image_proxy_graph_SOR8_D3_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.7,0.477124,0.230769,1934.336851,3999.315188,0.018253,0.018253,153,24,70,10,49,0.255319,0.705882,0.375,10
graph_SOR8_D4_seed42,Vanilla VMamba graph-image proxy,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vanilla_vmamba/Vanilla_VMamba_graph_image_proxy_graph_SOR8_D4_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.625,0.253623,0.228464,2105.898716,2337.802744,0.029943,0.029943,276,61,205,1,9,0.229323,0.983871,0.371951,10
graph_SOR8_D5_seed42,Vanilla VMamba graph-image proxy,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vanilla_vmamba/Vanilla_VMamba_graph_image_proxy_graph_SOR8_D5_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.775,0.694253,0.248588,1986.927567,5549.071378,0.054424,0.054424,435,44,84,49,258,0.34375,0.473118,0.39819,10
graph_SOR16_D1_seed42,Vanilla VMamba graph-image proxy,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vanilla_vmamba/Vanilla_VMamba_graph_image_proxy_graph_SOR16_D1_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.55,0.2,0.2,2044.061098,2044.061098,0.001468,0.001468,15,3,12,0,0,0.2,1.0,0.333333,10
graph_SOR16_D2_seed42,Vanilla VMamba graph-image proxy,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vanilla_vmamba/Vanilla_VMamba_graph_image_proxy_graph_SOR16_D2_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.725,0.393939,0.215686,1975.963448,3608.991091,0.007204,0.007204,66,11,37,3,15,0.229167,0.785714,0.354839,10
graph_SOR16_D3_seed42,Vanilla VMamba graph-image proxy,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vanilla_vmamba/Vanilla_VMamba_graph_image_proxy_graph_SOR16_D3_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.875,0.816993,0.263158,2232.622322,6931.343812,0.018034,0.018034,153,10,5,23,115,0.666667,0.30303,0.416667,10
graph_SOR16_D4_seed42,Vanilla VMamba graph-image proxy,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vanilla_vmamba/Vanilla_VMamba_graph_image_proxy_graph_SOR16_D4_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.6,0.228261,0.216912,2004.218937,2109.082271,0.029871,0.029871,276,59,213,0,4,0.216912,1.0,0.356495,10
graph_SOR16_D5_seed42,Vanilla VMamba graph-image proxy,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vanilla_vmamba/Vanilla_VMamba_graph_image_proxy_graph_SOR16_D5_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.825,0.749425,0.248276,1879.237942,5672.514529,0.05747,0.05747,435,36,52,57,290,0.409091,0.387097,0.39779,10
graph_SOR2_D1_seed42,VMamba-Mesh Isomera adapter,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh/VMamba_Mesh_Isomera_adapter_graph_SOR2_D1_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.5,1.0,1.0,14332.705835,14332.705835,7e-05,7e-05,1,1,0,0,0,1.0,1.0,1.0,10
graph_SOR2_D2_seed42,VMamba-Mesh Isomera adapter,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh/VMamba_Mesh_Isomera_adapter_graph_SOR2_D2_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.675,0.833333,0.666667,9766.018337,12207.522921,0.00041,0.00041,6,2,1,0,3,0.666667,1.0,0.8,10
graph_SOR2_D3_seed42,VMamba-Mesh Isomera adapter,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh/VMamba_Mesh_Isomera_adapter_graph_SOR2_D3_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.575,0.733333,0.555556,8972.030117,11843.079755,0.000929,0.000929,15,5,3,1,6,0.625,0.833333,0.714286,10
graph_SOR2_D4_seed42,VMamba-Mesh Isomera adapter,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh/VMamba_Mesh_Isomera_adapter_graph_SOR2_D4_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.625,0.857143,0.666667,11093.503419,14263.075824,0.001683,0.001683,28,8,4,0,16,0.666667,1.0,0.8,10
graph_SOR2_D5_seed42,VMamba-Mesh Isomera adapter,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh/VMamba_Mesh_Isomera_adapter_graph_SOR2_D5_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.625,0.911111,0.714286,11001.705331,14033.286356,0.002922,0.002922,45,10,1,3,31,0.909091,0.769231,0.833333,10
graph_SOR4_D1_seed42,VMamba-Mesh Isomera adapter,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh/VMamba_Mesh_Isomera_adapter_graph_SOR4_D1_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.825,1.0,1.0,13982.623474,13982.623474,0.000429,0.000429,6,3,0,0,3,1.0,1.0,1.0,10
graph_SOR4_D2_seed42,VMamba-Mesh Isomera adapter,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh/VMamba_Mesh_Isomera_adapter_graph_SOR4_D2_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.35,0.464286,0.444444,4426.035296,4623.626158,0.002812,0.002812,28,12,15,0,1,0.444444,1.0,0.615385,10
graph_SOR4_D3_seed42,VMamba-Mesh Isomera adapter,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh/VMamba_Mesh_Isomera_adapter_graph_SOR4_D3_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.6,0.69697,0.375,5205.297991,9674.493236,0.004755,0.004755,66,12,18,2,34,0.4,0.857143,0.545455,10
graph_SOR4_D4_seed42,VMamba-Mesh Isomera adapter,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh/VMamba_Mesh_Isomera_adapter_graph_SOR4_D4_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.525,0.725,0.377358,4536.439123,8715.633665,0.009982,0.009982,120,20,23,10,67,0.465116,0.666667,0.547945,10
graph_SOR4_D5_seed42,VMamba-Mesh Isomera adapter,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh/VMamba_Mesh_Isomera_adapter_graph_SOR4_D5_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.525,0.6,0.269231,3644.956233,8123.045319,0.014034,0.014034,190,28,66,10,86,0.297872,0.736842,0.424242,10
graph_SOR8_D1_seed42,VMamba-Mesh Isomera adapter,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh/VMamba_Mesh_Isomera_adapter_graph_SOR8_D1_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.55,0.266667,0.266667,2688.021189,2688.021189,0.001488,0.001488,15,4,11,0,0,0.266667,1.0,0.421053,10
graph_SOR8_D2_seed42,VMamba-Mesh Isomera adapter,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh/VMamba_Mesh_Isomera_adapter_graph_SOR8_D2_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.55,0.530303,0.27907,2568.880493,4881.521644,0.00717,0.00717,66,12,26,5,23,0.315789,0.705882,0.436364,10
graph_SOR8_D3_seed42,VMamba-Mesh Isomera adapter,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh/VMamba_Mesh_Isomera_adapter_graph_SOR8_D3_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.575,0.679739,0.279412,2359.534628,5740.154417,0.018118,0.018118,153,19,34,15,85,0.358491,0.558824,0.436782,10
graph_SOR8_D4_seed42,VMamba-Mesh Isomera adapter,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh/VMamba_Mesh_Isomera_adapter_graph_SOR8_D4_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.575,0.692029,0.26087,2385.190271,6327.379748,0.030186,0.030186,276,30,53,32,161,0.361446,0.483871,0.413793,10
graph_SOR8_D5_seed42,VMamba-Mesh Isomera adapter,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh/VMamba_Mesh_Isomera_adapter_graph_SOR8_D5_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.425,0.489655,0.234483,1825.382203,3811.827542,0.055879,0.055879,435,68,197,25,145,0.256604,0.731183,0.379888,10
graph_SOR16_D1_seed42,VMamba-Mesh Isomera adapter,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh/VMamba_Mesh_Isomera_adapter_graph_SOR16_D1_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.85,0.8,0.25,2442.764351,7816.845924,0.001535,0.001535,15,1,1,2,11,0.5,0.333333,0.4,10
graph_SOR16_D2_seed42,VMamba-Mesh Isomera adapter,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh/VMamba_Mesh_Isomera_adapter_graph_SOR16_D2_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.375,0.348485,0.232143,2045.487911,3070.615885,0.00749,0.00749,66,13,42,1,10,0.236364,0.928571,0.376812,10
graph_SOR16_D3_seed42,VMamba-Mesh Isomera adapter,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh/VMamba_Mesh_Isomera_adapter_graph_SOR16_D3_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.575,0.699346,0.28125,2196.312364,5461.273446,0.019593,0.019593,153,18,31,15,89,0.367347,0.545455,0.439024,10
graph_SOR16_D4_seed42,VMamba-Mesh Isomera adapter,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh/VMamba_Mesh_Isomera_adapter_graph_SOR16_D4_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.575,0.688406,0.258621,2218.979808,5906.559778,0.032168,0.032168,276,30,57,29,160,0.344828,0.508475,0.410959,10
graph_SOR16_D5_seed42,VMamba-Mesh Isomera adapter,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/architectures/tpc_ds_genai_spec_v2/models/vmamba_mesh/VMamba_Mesh_Isomera_adapter_graph_SOR16_D5_seed42.pkl,scenario_specific_vmamba_pickle,scenario_specific,VMamba-Mesh Study Lab CPU benchmark,0.35,0.416092,0.23494,1603.012017,2839.027353,0.063754,0.063754,435,78,239,15,103,0.246057,0.83871,0.380488,10
